"Name","Chr:bp","Genomic size (bp)","Class","Source Study","Study description"
"esv2427383","14:68621796-68621796","-","insertion","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv2926297","14:68621796-68621796","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv66134","14:68621797-68621797","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2216139","14:68621797-68621797","-","insertion","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1748088","14:68622619-68622637","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv81147","14:68622724-68622724","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2926298","14:68627923-68627923","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv75277","14:68627924-68627924","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2283096","14:68627924-68627924","-","insertion","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"esv1469627","14:68627931-68627931","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv80536","14:68627932-68627932","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv3634828","14:68630069-68630710","642","CNV","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"esv2623532","14:68630179-68630179","-","insertion","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv2926299","14:68630179-68630179","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"esv1968071","14:68630180-68630180","-","insertion","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"esv1271262","14:68630182-68630182","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv3345835","14:68632944-68632999","56","CNV","dbVar:nstd162","NCBI database of human genomic structural variation: Audano 2019 ""Although the accuracy of the human reference genome is critical for basic and clinical research, structural variants (SVs) have been difficult to assess because data capable of resolving them have been limited. To address potential bias, we generated long-read sequence data on thirteen genomes. Systematically merging SVs yielded 95,827 sequence-resolved insertions, deletions, and inversions. Among these, we identified more than 1 Mbp of SVs shared among all genomes and more than 6.5 Mbp of SVs in the majority of genomes indicating errors or extreme minor alleles captured in the reference."""
"nsv80789","14:68632977-68632979","3","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2358094","14:68635965-68635966","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1748546","14:68635965-68635975","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv72765","14:68636591-68636592","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv66791","14:68636594-68636595","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv1048003","14:68636603-68636605","3","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv4227946","14:68637364-68637586","223","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1771901","14:68637803-68637831","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2466887","14:68638099-68638099","1","CNV","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv2397764","14:68638099-68638100","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"esv3184407","14:68639425-68639426","2","CNV","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"esv2580619","14:68639426-68639426","1","CNV","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv1262568","14:68639426-68639427","2","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv1952656","14:68639426-68639427","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv80395","14:68639427-68639427","1","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1771902","14:68639759-68639804","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2926300","14:68639781-68639781","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"esv2926301","14:68640217-68640217","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"esv1749017","14:68640221-68640221","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv3184408","14:68641502-68641503","2","CNV","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"esv1455810","14:68641502-68641503","2","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv3306498","14:68641534-68641581","-","mobile element insertion","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"esv3443491","14:68641540-68641605","-","insertion","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"nsv4557092","14:68641561-68641561","-","insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv3522317","14:68641561-68641561","-","mobile element insertion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv4719082","14:68641561-68641561","-","insertion","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv4445341","14:68641561-68641561","-","insertion","dbVar:nstd175","NCBI database of human genomic structural variation: The v0.6 Genome in a Bottle Consortium [www.genomeinabottle.org] structural variant (SV) benchmark set includes ~10,000 sequence-resolved insertions and deletions >49bp from the broadly-consented GIAB/Personal Genome Project Ashkenazi son (HG002/GM24385).  These SVs, along with an accompanying benchmark BED file, are discovered and evaluated by multiple short, linked, and long read sequencing technologies and are intended as a benchmark for identifying false positive and false negative SV calls in any method. For more information, please refer to [Zook, et al., bioRxiv (2019)|https://doi.org/10.1101/664623]. Original VCF files and the benchmark BED file can be found [here|ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/]."
"nsv3356444","14:68641562-68641562","-","mobile element insertion","dbVar:nstd162","NCBI database of human genomic structural variation: Audano 2019 ""Although the accuracy of the human reference genome is critical for basic and clinical research, structural variants (SVs) have been difficult to assess because data capable of resolving them have been limited. To address potential bias, we generated long-read sequence data on thirteen genomes. Systematically merging SVs yielded 95,827 sequence-resolved insertions, deletions, and inversions. Among these, we identified more than 1 Mbp of SVs shared among all genomes and more than 6.5 Mbp of SVs in the majority of genomes indicating errors or extreme minor alleles captured in the reference."""
"esv3634829","14:68641573-68641573","-","mobile element insertion","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"nsv3104461","14:68641573-68641573","-","mobile element insertion","DGVa:nstd144","Database of Genomic Variants Archive: Gardner 2017 ""Mobile element insertions (MEIs) represent ~25% of all structural variants in human genomes. Moreover, when MEIs disrupt genes, they can influence human traits and diseases. Therefore, MEIs should be fully discovered along with other forms of genetic variation. Here, we describe the Mobile Element Locator Tool (MELT), which was developed as part of the 1000 Genomes Project to perform routine MEI discovery on a population scale. We then used MELT to perform MEI discovery in modern humans, chimpanzees, and ancient (Neanderthal and Denisovan) hominids. Overall, our study provides the most comprehensive map of MEIs to date spanning chimpanzees, ancient hominids, and modern humans."""
"nsv4688820","14:68641573-68641573","-","mobile element insertion","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv991693","14:68641573-68641574","-","mobile element insertion","DGVa:nstd94","Database of Genomic Variants Archive: Helman 2014 ""Somatic retrotransposition in human cancer revealed by whole-genome and exome sequencing."" PMID:24823667"
"esv2332143","14:68641865-68641865","-","insertion","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1748243","14:68641865-68641878","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4553554","14:68643068-68643068","-","insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv3558686","14:68643068-68643068","-","mobile element insertion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv4722585","14:68643068-68643068","-","insertion","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv4445342","14:68643068-68643068","-","insertion","dbVar:nstd175","NCBI database of human genomic structural variation: The v0.6 Genome in a Bottle Consortium [www.genomeinabottle.org] structural variant (SV) benchmark set includes ~10,000 sequence-resolved insertions and deletions >49bp from the broadly-consented GIAB/Personal Genome Project Ashkenazi son (HG002/GM24385).  These SVs, along with an accompanying benchmark BED file, are discovered and evaluated by multiple short, linked, and long read sequencing technologies and are intended as a benchmark for identifying false positive and false negative SV calls in any method. For more information, please refer to [Zook, et al., bioRxiv (2019)|https://doi.org/10.1101/664623]. Original VCF files and the benchmark BED file can be found [here|ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/]."
"nsv3341373","14:68643069-68643069","-","insertion","dbVar:nstd162","NCBI database of human genomic structural variation: Audano 2019 ""Although the accuracy of the human reference genome is critical for basic and clinical research, structural variants (SVs) have been difficult to assess because data capable of resolving them have been limited. To address potential bias, we generated long-read sequence data on thirteen genomes. Systematically merging SVs yielded 95,827 sequence-resolved insertions, deletions, and inversions. Among these, we identified more than 1 Mbp of SVs shared among all genomes and more than 6.5 Mbp of SVs in the majority of genomes indicating errors or extreme minor alleles captured in the reference."""
"nsv1748244","14:68646065-68646075","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1798800","14:68647636-68664313","16,678","CNV","DGVa:estd188","Database of Genomic Variants Archive: Pinto 2011 ""Comprehensive assessment of array-based platforms and calling algorithms for detection of copy number variants."" PMID:21552272"
"nsv1748547","14:68647701-68647718","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748548","14:68648005-68648037","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771903","14:68648062-68648073","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4218871","14:68648085-68648137","53","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv3354945","14:68648087-68648138","52","CNV","dbVar:nstd162","NCBI database of human genomic structural variation: Audano 2019 ""Although the accuracy of the human reference genome is critical for basic and clinical research, structural variants (SVs) have been difficult to assess because data capable of resolving them have been limited. To address potential bias, we generated long-read sequence data on thirteen genomes. Systematically merging SVs yielded 95,827 sequence-resolved insertions, deletions, and inversions. Among these, we identified more than 1 Mbp of SVs shared among all genomes and more than 6.5 Mbp of SVs in the majority of genomes indicating errors or extreme minor alleles captured in the reference."""
"nsv1748089","14:68648094-68648105","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv85602","14:68648113-68648113","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748090","14:68648134-68648147","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748091","14:68648156-68648169","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748092","14:68648668-68648715","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv84011","14:68648683-68648686","4","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv70951","14:68648703-68648704","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv81031","14:68648705-68648706","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv1605973","14:68648715-68648715","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv3634830","14:68650206-68656777","6,572","CNV","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"esv2658059","14:68650229-68656754","6,526","CNV","DGVa:estd199","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 1. PMID:23128226"
"nsv4627091","14:68650229-68656754","6,526","CNV","dbVar:nstd183","NCBI database of human genomic structural variation: This CNV consensus set represents common population CNVs with allele frequencies as displayed in the DECIPHER download file [https://decipher.sanger.ac.uk/files/downloads/population_cnv.txt.gz|https://decipher.sanger.ac.uk/files/downloads/population_cnv.txt.gz]. The set is comprised of a number of carefully selected, high resolution controls sets where frequency information is available. Data sets included are: 42 Million study (raw call lists and genotyped regions), WTCCC study (merged Affy6 data set), 1000 Genomes pilot (merged deletions and tandem duplications) and DDD study (national blood service controls and generation Scotland controls)."
"nsv1748549","14:68651172-68651189","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3184409","14:68655130-68655132","3","CNV","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv77564","14:68655131-68655131","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1771904","14:68655131-68655161","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1736602","14:68655150-68655152","3","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv1748245","14:68655208-68655221","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1996419","14:68659444-68659445","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv4230999","14:68662074-68662205","132","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748093","14:68663311-68663335","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv66485","14:68663324-68663327","4","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1134385","14:68667416-68667472","57","CNV","DGVa:nstd106","Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
"nsv4529567","14:68667416-68667472","57","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4642806","14:68667416-68667472","57","CNV","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv1771905","14:68669628-68669661","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1148933","14:68669657-68669657","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv1360215","14:68669657-68669661","5","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv3392590","14:68671382-68676080","4,699","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"esv2926303","14:68671819-68671819","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv1748550","14:68671820-68671831","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748094","14:68673314-68673329","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1151419","14:68673382-68674283","902","CNV","DGVa:nstd107","Database of Genomic Variants Archive: Elsa 2014 ""Comprehensive analysis of a personal genome of Bedouin ancestry from Kuwait"""
"nsv1771906","14:68673394-68673411","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv76662","14:68673411-68673412","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2490844","14:68673411-68673412","2","CNV","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv1919452","14:68673411-68673413","3","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1138312","14:68673492-68673546","55","CNV","DGVa:nstd106","Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
"nsv1108905","14:68673503-68673600","98","CNV","DGVa:nstd106","Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
"esv3354980","14:68673525-68673983","459","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"esv3518705","14:68673601-68674065","465","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"esv3518707","14:68673601-68674065","465","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
